Week,New Cases
1,4
2,2
3,2
4,4
5,9
6,13
7,17
8,45
9,53
10,88
11,133
12,229
13,313
14,495
15,615
16,792
17,868
18,852
19,765
20,689
21,546
22,409
23,318
24,241
25,212
26,146
27,125
28,93
29,65
30,47
31,54
32,46
33,28
34,22
35,11
36,15
37,10
38,9
39,9
40,7
41,4
42,8
43,0
44,3
45,2
46,4
47,3
48,6
49,4
50,1
51,1
52,1
53,0
54,1
55,1
56,0
57,0
58,1
59,1
60,2
61,0
62,1
63,1
64,2
65,0
66,0
67,0
68,2
69,0
70,1
71,1
72,1
73,0
74,0
75,0
76,2
77,0
78,1
79,1
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,1
88,0
89,0
90,0
91,1
92,0
93,2
94,1
95,1
96,0
97,2
98,3
99,2
100,1
101,3
102,5
103,9
104,3
105,2
106,2
107,3
108,4
109,15
110,7
111,17
112,14
113,20
114,11
115,16
116,27
117,33
118,36
119,32
120,42
121,39
122,64
123,68
124,90
125,110
126,102
127,129
128,124
129,144
130,160
131,163
132,156
133,163
134,189
135,196
136,171
137,196
138,196
139,175
140,154
141,163
142,134
143,135
144,125
145,115
146,103
147,96
148,75
149,81
150,72
151,61
152,64
153,44
154,49
155,45
156,44
157,40
158,30
159,32
160,28
161,25
162,26
163,25
164,22
165,24
166,21
167,22
168,21
169,14
170,9
171,19
172,10
173,9
174,14
175,15
176,20
177,10
178,10
179,7
180,15
181,16
182,16
183,14
184,27
185,13
186,12
187,9
188,17
189,11
190,22
191,14
192,22
193,17
194,17
195,21
196,20
197,18
198,23
199,22
200,33
201,30
202,28
203,29
204,29
205,38
206,30
207,42
208,47
209,52
210,47
211,40
212,53
213,55
214,50
215,61
216,57
217,75
218,43
219,75
220,72
221,68
222,67
223,78
224,79
225,77
226,84
227,96
228,85
229,95
230,81
231,95
232,76
233,81
234,82
235,71
236,77
237,83
238,79
239,84
240,61
241,63
242,76
243,72
244,57
245,61
246,67
247,49
248,64
249,59
250,49
251,54
252,41
253,52
254,39
255,46
256,34
257,48
258,46
259,24
260,33
261,38
262,37
263,31
264,27
265,33
266,29
267,34
268,38
269,39
270,36
271,31
272,37
273,38
274,26
275,35
276,26
277,33
278,30
279,32
280,35
281,29
282,29
283,36
284,29
285,30
286,31
287,28
288,29
289,37
290,42
291,39
292,36
293,38
294,49
295,41
296,40
297,46
298,49
299,46
300,45
301,48
302,41
303,45
304,48
305,65
306,36
307,66
308,53
309,57
310,47
311,58
312,67
313,46
314,60
315,62
316,58
317,72
318,70
319,60
320,76
321,62
322,55
323,71
324,58
325,69
326,74
327,69
328,52
329,73
330,57
331,67
332,60
333,58
334,54
335,49
336,56
337,52
338,49
339,57
340,65
341,56
342,47
343,42
344,39
345,64
346,50
347,45
348,42
349,42
350,50
351,48
352,39
353,39
354,42
355,52
356,36
357,50
358,48
359,35
360,37
361,52
362,21
363,40
364,50
365,42
366,46
367,36
368,38
369,41
370,39
371,43
372,32
373,56
374,38
375,37
376,37
377,39
378,46
379,37
380,55
381,38
382,44
383,49
384,41
385,57
386,48
387,39
388,47
389,58
390,50
391,43
392,42
393,60
394,45
395,60
396,45
397,59
398,46
399,50
400,39
401,55
402,55
403,67
404,55
405,59
406,47
407,60
408,55
409,52
410,47
411,49
412,57
413,44
414,55
415,53
416,62
417,55
418,38
419,59
420,54
421,46
422,52
423,47
424,50
425,49
426,55
427,52
428,59
429,51
430,38
431,62
432,56
433,51
434,54
435,42
436,49
437,60
438,46
439,32
440,53
441,41
442,57
443,55
444,40
445,42
446,52
447,36
448,53
449,49
450,45
451,42
452,47
453,39
454,57
455,49
456,46
457,37
458,60
459,34
460,47
461,52
462,54
463,51
464,48
465,54
466,39
467,39
468,39
469,39
470,48
471,51
472,42
473,59
474,41
475,52
476,41
477,44
478,51
479,53
480,44
481,35
482,47
483,46
484,47
485,41
486,60
487,46
488,49
489,44
490,57
491,52
492,60
493,49
494,53
495,60
496,49
497,51
498,60
499,56
500,67
501,6
